phi_index,p_index,phi,phi_over_pi,p,v_fit_A,v_fit_B,v_fit_ABB,adv_v,w_loc_primary,w_loc_sensitivity,P0bar,deltaP_late_mean,strict,dt_primary,dt_sens,pp_primary,pp_sens,mismatch,vA_ci_lo,vA_ci_hi,vB_ci_lo,vB_ci_hi,vABB_ci_lo,vABB_ci_hi
12,0,1.0471975511965976,0.3333333333333333,0.0,-0.05354750247179229,-0.03879155192411138,0.12039081438979324,0.15918236631390462,0.5539169355050061,0.560667705564583,0.17583604833778338,0.40298969393240414,1,0,0,0,0,0,-0.05354750247179229,-0.05354750247179229,-0.03879155192411138,-0.03879155192411138,0.12039081438979324,0.12039081438979324
11,0,0.9599310885968813,0.3055555555555556,0.0,-0.05264380443472744,-0.04723591636538499,0.11140307072933961,0.1586389870947246,0.5732802224480572,0.5796775620988084,0.18572815642529122,0.373660704127894,1,0,0,0,0,0,-0.05264380443472744,-0.05264380443472744,-0.04723591636538499,-0.04723591636538499,0.11140307072933961,0.11140307072933961
14,0,1.2217304763960306,0.3888888888888889,0.0,-0.05532474048836578,-0.025108591631445458,0.1332428064093214,0.15835139804076687,0.5061850042413818,0.5143081633772253,0.1539679786968202,0.4525292620751795,1,0,0,0,0,0,-0.05532474048836578,-0.05532474048836578,-0.025108591631445458,-0.025108591631445458,0.1332428064093214,0.1332428064093214
13,0,1.1344640137963142,0.3611111111111111,0.0,-0.05444284763563035,-0.02999410799805806,0.1277751130057538,0.15776922100381185,0.5314804510265619,0.5387990343964887,0.1651596678443514,0.42919820009806114,1,0,0,0,0,0,-0.05444284763563035,-0.05444284763563035,-0.02999410799805806,-0.02999410799805806,0.1277751130057538,0.1277751130057538
15,0,1.3089969389957472,0.4166666666666667,0.0,-0.05618693575968395,-0.02084052311804279,0.13631952649892942,0.15716004961697222,0.47810289712901616,0.4873638446509443,0.14240853043810975,0.47300076856401235,1,0,0,0,0,0,-0.05618693575968395,-0.05618693575968395,-0.02084052311804279,-0.02084052311804279,0.13631952649892942,0.13631952649892942
16,0,1.3962634015954636,0.4444444444444444,0.0,-0.05701828477077424,-0.017701220945801927,0.13611641027447277,0.1538176312202747,0.446714153894349,0.4577964780040199,0.13041180543250275,0.4889325399144775,1,0,0,0,0,0,-0.05701828477077424,-0.05701828477077424,-0.017701220945801927,-0.017701220945801927,0.13611641027447277,0.13611641027447277
10,0,0.8726646259971648,0.2777777777777778,0.0,-0.051741932457845044,-0.06138123193573872,0.10162424667594497,0.15336617913379003,0.5893137358401742,0.5955725126075337,0.1942877492801353,0.3441432510287202,1,0,0,0,0,0,-0.051741932457845044,-0.051741932457845044,-0.06138123193573872,-0.06138123193573872,0.10162424667594497,0.10162424667594497
17,0,1.48352986419518,0.4722222222222222,0.0,-0.0578049652125594,-0.016327215514569626,0.13136491826308647,0.14769213377765608,0.41011722921735144,0.42452635070408457,0.11742396871285082,0.496672520861923,1,0,0,0,0,0,-0.0578049652125594,-0.0578049652125594,-0.016327215514569626,-0.016327215514569626,0.13136491826308647,0.13136491826308647
9,0,0.7853981633974483,0.25,0.0,-0.05086289806786194,-0.08034174586747633,0.09096312372140504,0.14182602178926698,0.6017875346041333,0.6080283668506896,0.20117445080433424,0.310567112593382,1,0,0,0,0,0,-0.05086289806786194,-0.05086289806786194,-0.08034174586747633,-0.08034174586747633,0.09096312372140504,0.09096312372140504
18,0,1.5707963267948966,0.5,0.0,-0.05853787724443198,-0.015372458835806234,0.12083352057243758,0.1362059794082438,0.3631102307356258,0.38357002307676863,0.10164341762837271,0.488742912204297,1,0,0,0,0,0,-0.05853787724443198,-0.05853787724443198,-0.015372458835806234,-0.015372458835806234,0.12083352057243758,0.12083352057243758
8,0,0.6981317007977318,0.2222222222222222,0.0,-0.050019714105398176,-0.09721634602385511,0.07895283461979863,0.1289725487251968,0.6099492361795652,0.616579982965531,0.20571142815256452,0.2789593382702113,1,0,0,0,0,0,-0.050019714105398176,-0.050019714105398176,-0.09721634602385511,-0.09721634602385511,0.07895283461979863,0.07895283461979863
19,0,1.658062789394613,0.5277777777777778,0.0,-0.05920622534629004,-0.014057313029030922,0.10517735958086646,0.11923467260989738,0.28778421187608627,0.3176255167396153,0.0769181223089881,0.4433396001533504,1,0,0,0,0,0,-0.05920622534629004,-0.05920622534629004,-0.014057313029030922,-0.014057313029030922,0.10517735958086646,0.10517735958086646
7,0,0.6108652381980153,0.19444444444444445,0.0,-0.04920499250385967,-0.11240735804163783,0.06646512511134946,0.11567011761520912,0.6135057764530059,0.6206739094981828,0.20763076770000224,0.23866461858383345,1,0,0,0,0,0,-0.04920499250385967,-0.04920499250385967,-0.11240735804163783,-0.11240735804163783,0.06646512511134946,0.06646512511134946
6,0,0.5235987755982988,0.16666666666666666,0.0,-0.04847929738857836,-0.1261789999099357,0.05277929259443103,0.10125858998300939,0.6106049695275486,0.6188453932698208,0.20588805197615476,0.20461561875157827,1,0,0,0,0,0,-0.04847929738857836,-0.04847929738857836,-0.1261789999099357,-0.1261789999099357,0.05277929259443103,0.05277929259443103
20,0,1.7453292519943295,0.5555555555555556,0.0,-0.05978887172875723,-0.012421587127406708,0.08754665182895835,0.09996823895636506,0.10664138363711008,0.1308294698910885,0.023399834599169077,0.304077874199283,1,0,1,0,1,0,-0.05978887172875723,-0.05978887172875723,-0.012421587127406708,-0.012421587127406708,0.08754665182895835,0.08754665182895835
22,0,1.9198621771937625,0.6111111111111112,0.0,-0.06062439660119367,-0.009272699229302326,0.08582002434769102,0.09509272357699335,0.42043449762842866,0.46073206635007835,0.09037373957102533,0.3959254448855311,1,0,0,0,0,0,-0.06062439660119367,-0.06062439660119367,-0.009272699229302326,-0.009272699229302326,0.08582002434769102,0.08582002434769102
24,0,2.0943951023931953,0.6666666666666666,0.0,-0.06077079706357699,-0.007140162420516354,0.08723508993014825,0.0943752523506646,0.6232221553069319,0.6468199341902212,0.1679359678278305,0.5694249972587851,0,0,0,0,0,0,-0.06077079706357699,-0.06077079706357699,-0.007140162420516354,-0.007140162420516354,0.08723508993014825,0.08723508993014825
23,0,2.007128639793479,0.6388888888888888,0.0,-0.06080791051836107,-0.00806667976681473,0.08247532850872907,0.0905420082755438,0.5452099077582043,0.5754061606002088,0.1334858370106618,0.4870947551215704,0,0,0,0,0,0,-0.06080791051836107,-0.06080791051836107,-0.00806667976681473,-0.00806667976681473,0.08247532850872907,0.08247532850872907
25,0,2.1816615649929116,0.6944444444444444,0.0,-0.06044640153458461,-0.0064552246590299876,0.08407384151583087,0.09052906617486087,0.6728093904875277,0.693882978639816,0.18621760991856834,0.5768609270328763,0,0,0,0,0,0,-0.06044640153458461,-0.06044640153458461,-0.0064552246590299876,-0.0064552246590299876,0.08407384151583087,0.08407384151583087
5,0,0.4363323129985824,0.1388888888888889,0.0,-0.047822952099257486,-0.13857841476653962,0.0402510648088476,0.0880740169081051,0.5974221290600131,0.6077382373719545,0.19906718489258546,0.16757831556572175,1,0,0,0,0,0,-0.047822952099257486,-0.047822952099257486,-0.13857841476653962,-0.13857841476653962,0.0402510648088476,0.0402510648088476
